225415405941969, 400648127977931, 79201130433258 @ 23, -204, 617
353783687623292, 138575899489956, 318416438572569 @ -80, 156, 21
215751176267772, 376619563956940, 230133299986253 @ -120, 126, -352
323665001411559, 234169007288514, 312785643963696 @ 21, -57, 87
254448034578908, 463170080025786, 244090582025017 @ -86, -444, -22
273471653417187, 172046246078624, 48450798656249 @ 51, 61, 380
287227040623943, 157690235374498, 384072710396003 @ 37, 71, -26
196570909856452, 123834875604024, 344193708165349 @ 146, 78, 41
291836802016516, 158629082612480, 342455569571405 @ 47, 31, 49
298917064765569, 185466058651841, 449492757808548 @ -51, 192, -291
277447863776037, 223974644004974, 423175649399949 @ 49, -9, -72
199169064813882, 445639406916578, 199189746431220 @ 80, -661, 25
223236043139832, 224306682732104, 402909760074704 @ 66, 277, -395
160873242048546, 2807347124660, 304979991957720 @ 208, 505, -7
180322479461100, 363347387196216, 291367348962937 @ 168, -165, 59
191508437104116, 143482518396184, 170693733091549 @ 156, 938, 266
300262336776900, 288953165796224, 248618365141389 @ 13, -77, 131
339372161410582, 485966647161393, 439531131447631 @ -40, -330, -118
240537427307140, 322136671432640, 249196664210477 @ 28, -11, 44
249882429145512, 306189656212496, 240713646859308 @ 50, -51, 113
77035247523111, 70939166181557, 234452997993258 @ 267, 112, 163
207536104523712, 363405227575334, 221013673815459 @ 50, 67, -50
261247833878290, 352514363170541, 302831453279296 @ -112, -20, -247
188444983635892, 315104348409984, 240766146469389 @ 196, 725, -396
359796087574467, 111122874778900, 326659019395370 @ -15, 65, 73
178880471858808, 79854689532476, 21817450628085 @ 172, 287, 468
232988926739376, 464839183237100, 261667422860736 @ -62, -535, -205
265926918569922, 267256078421696, 311633035119111 @ -85, 221, -201
261596124854016, 224998976566733, 77390405219169 @ 58, 16, 356
257370294349506, 235548554231378, 271577006946924 @ 24, 107, 41
377179387919364, 171297810997880, 333963867168141 @ -78, 64, 28
335525619653812, 276766669213904, 450741382665389 @ -5, -86, -76
233022922631022, 323546756912150, 73999021188171 @ 105, -134, 337
197703129313946, 356721184961974, 324475431876400 @ 116, 123, -785
299774046272417, 281391906480039, 324869409355059 @ -61, 20, -66
158456241300600, 328005645597014, 323351855821407 @ 196, -122, 27
318317477826499, 205999790699555, 355971505043039 @ 13, -8, 26
383867610317492, 305266672202336, 391644492022061 @ -65, -113, -20
267880895636388, 231892959289508, 223009170722289 @ -42, 220, 111
284944636544954, 81652494161206, 485157498035792 @ 44, 147, -133
299445265390278, 183358851734814, 393326001570685 @ 33, 18, -16
379352339948004, 272952661790348, 341575518626421 @ -58, -78, 38
238540184953467, 346812031824029, 230471715374112 @ -45, 28, 9
332988931413672, 150313594552640, 391171513453800 @ 10, 29, 7
213113841492680, 329710299385166, 238864217596340 @ 82, 31, 25
213825842422096, 374350857270145, 206903707715456 @ -46, 74, -17
232829244318041, 243969891662384, 251077640273511 @ 91, 13, 114
296488159789348, 487393597839040, 375568882706669 @ -32, -369, -124
445689727525704, 261240829814024, 334067255421553 @ -111, -77, 59
310845126320652, 129182513470544, 380690205714669 @ 36, 41, 24
139076042564018, 235908097774312, 238553211471622 @ 208, -43, 155
206569666655868, 445187859332993, 258701719850118 @ 78, -430, -187
381169276760890, 268553967611230, 356567213426095 @ -97, -46, -13
196682799381384, 424850860356476, 229135490685093 @ 121, -366, -142
218508854719362, 406255246247474, 196295487832399 @ -117, -224, 67
314526420745230, 232426655834918, 289805146474341 @ -17, 12, 68
254949801045000, 402044374105564, 325952697218669 @ 12, -217, -104
311446485053989, 419259306267835, 279275375951782 @ -251, -270, -113
318816250869339, 170041734451751, 266254607710398 @ 11, 34, 123
401648999679771, 377458817972572, 506069231423157 @ -51, -199, -96
336971252079632, 107586440480344, 437081903195049 @ -11, 107, -69
256752413412028, 323623430186616, 253009610659687 @ -38, 17, 7
276448713332340, 291613396696898, 332902084523969 @ 6, -29, -44
217049764421508, 16535968312676, 188030526475173 @ 126, 160, 210
430636006058020, 430145841022952, 272022845023541 @ -122, -254, 113
278658890419912, 143145340017624, 374887457383649 @ -7, 255, -137
210262838736447, 174243721261669, 111164549783989 @ 93, 534, 448
143154653879978, 200787535108982, 297131676698967 @ 229, 100, 33
242371553144156, 345175701259536, 157135629379533 @ -113, 99, 348
338306775387030, 270004585934852, 258168599702587 @ -144, 49, 62
230277192759036, 494976337883408, 249442359408865 @ -114, -851, -260
312367260731079, 381530933151503, 363555874166457 @ 21, -200, 20
326083884147444, 218739320608865, 394766845636539 @ 6, -24, -14
236029304557482, 369306753687179, 259777655517429 @ -32, -70, -112
216574933928097, 398639506750529, 213892205510614 @ 69, -200, 107
237335823078942, 213289885006070, 349362466181751 @ 95, 12, 9
218041760875367, 399349540805494, 361110969428166 @ 115, -217, -33
307049544359281, 187861911603083, 248136102967972 @ -121, 292, 59
307797917085471, 208109199721770, 201630850068889 @ 33, -25, 196
226681413160374, 394033430727447, 145141355630953 @ -96, -136, 484
366362348501392, 110574360740164, 322824338552601 @ -20, 63, 78
278151629518337, 459081036445549, 347102188663199 @ 25, -304, -26
439945736956707, 296728963533604, 545940314429821 @ -165, -87, -248
218169479639892, 380604520916402, 210453400010739 @ -90, 19, -54
150932586598524, 22178919522684, 286175262682301 @ 216, 378, 52
331609247787080, 270253089584228, 360020790359569 @ -76, -5, -74
344749447646148, 192860376041816, 196130162488245 @ -54, 60, 197
273834833252711, 181231187099392, 171102343952527 @ -103, 477, 250
218958756477828, 178667207194304, 291879030866253 @ 79, 393, -83
214695365376592, 376758165581977, 217071216531174 @ 10, -36, -9
229144350000118, 270028100284076, 434721682455423 @ 32, 217, -606
211480182096879, 134574407628080, 387849316745058 @ 81, 781, -547
278176045017110, 286034303976134, 405786504742059 @ -73, 88, -369
391627162864740, 89763424201670, 419051266425510 @ -42, 79, -13
235546483584772, 459341134172384, 281510664738669 @ -61, -488, -276
197552291774709, 388398873511553, 231524570439426 @ 127, -138, -27
189160741211220, 272988361966184, 236728241567445 @ 164, 278, 9
283786104693088, 208848767085956, 16821295739877 @ 41, 10, 414
